Type,Date,Price
"Brent",1989-01-15,17.17
"Brent",1989-02-15,16.89
"Brent",1989-03-15,18.7
"Brent",1989-04-15,20.32
"Brent",1989-05-15,18.63
"Brent",1989-06-15,17.67
"Brent",1989-07-15,17.62
"Brent",1989-08-15,16.77
"Brent",1989-09-15,17.77
"Brent",1989-10-15,18.91
"Brent",1989-11-15,18.73
"Brent",1989-12-15,19.84
"Brent",1990-01-15,21.25
"Brent",1990-02-15,19.81
"Brent",1990-03-15,18.39
"Brent",1990-04-15,16.61
"Brent",1990-05-15,16.35
"Brent",1990-06-15,15.1
"Brent",1990-07-15,17.17
"Brent",1990-08-15,27.17
"Brent",1990-09-15,34.9
"Brent",1990-10-15,36.02
"Brent",1990-11-15,33.07
"Brent",1990-12-15,28.27
"Brent",1991-01-15,23.57
"Brent",1991-02-15,19.54
"Brent",1991-03-15,19.08
"Brent",1991-04-15,19.18
"Brent",1991-05-15,19.19
"Brent",1991-06-15,18.17
"Brent",1991-07-15,19.4
"Brent",1991-08-15,19.77
"Brent",1991-09-15,20.5
"Brent",1991-10-15,22.21
"Brent",1991-11-15,21.11
"Brent",1991-12-15,18.41
"Brent",1992-01-15,18.16
"Brent",1992-02-15,18.05
"Brent",1992-03-15,17.63
"Brent",1992-04-15,18.92
"Brent",1992-05-15,19.89
"Brent",1992-06-15,21.16
"Brent",1992-07-15,20.24
"Brent",1992-08-15,19.74
"Brent",1992-09-15,20.27
"Brent",1992-10-15,20.26
"Brent",1992-11-15,19.21
"Brent",1992-12-15,18.14
"Brent",1993-01-15,17.39
"Brent",1993-02-15,18.47
"Brent",1993-03-15,18.79
"Brent",1993-04-15,18.67
"Brent",1993-05-15,18.51
"Brent",1993-06-15,17.65
"Brent",1993-07-15,16.78
"Brent",1993-08-15,16.7
"Brent",1993-09-15,16.01
"Brent",1993-10-15,16.61
"Brent",1993-11-15,15.2
"Brent",1993-12-15,13.73
"Brent",1994-01-15,14.29
"Brent",1994-02-15,13.8
"Brent",1994-03-15,13.82
"Brent",1994-04-15,15.23
"Brent",1994-05-15,16.19
"Brent",1994-06-15,16.76
"Brent",1994-07-15,17.6
"Brent",1994-08-15,16.89
"Brent",1994-09-15,15.9
"Brent",1994-10-15,16.49
"Brent",1994-11-15,17.19
"Brent",1994-12-15,15.93
"Brent",1995-01-15,16.55
"Brent",1995-02-15,17.11
"Brent",1995-03-15,17.01
"Brent",1995-04-15,18.65
"Brent",1995-05-15,18.35
"Brent",1995-06-15,17.31
"Brent",1995-07-15,15.85
"Brent",1995-08-15,16.1
"Brent",1995-09-15,16.7
"Brent",1995-10-15,16.11
"Brent",1995-11-15,16.86
"Brent",1995-12-15,17.93
"Brent",1996-01-15,17.85
"Brent",1996-02-15,18
"Brent",1996-03-15,19.85
"Brent",1996-04-15,20.9
"Brent",1996-05-15,19.15
"Brent",1996-06-15,18.46
"Brent",1996-07-15,19.57
"Brent",1996-08-15,20.51
"Brent",1996-09-15,22.63
"Brent",1996-10-15,24.16
"Brent",1996-11-15,22.76
"Brent",1996-12-15,23.78
"Brent",1997-01-15,23.54
"Brent",1997-02-15,20.85
"Brent",1997-03-15,19.13
"Brent",1997-04-15,17.56
"Brent",1997-05-15,19.02
"Brent",1997-06-15,17.58
"Brent",1997-07-15,18.46
"Brent",1997-08-15,18.6
"Brent",1997-09-15,18.46
"Brent",1997-10-15,19.87
"Brent",1997-11-15,19.17
"Brent",1997-12-15,17.18
"Brent",1998-01-15,15.19
"Brent",1998-02-15,14.07
"Brent",1998-03-15,13.1
"Brent",1998-04-15,13.53
"Brent",1998-05-15,14.36
"Brent",1998-06-15,12.21
"Brent",1998-07-15,12.08
"Brent",1998-08-15,11.91
"Brent",1998-09-15,13.34
"Brent",1998-10-15,12.7
"Brent",1998-11-15,11.04
"Brent",1998-12-15,9.82
"Brent",1999-01-15,11.11
"Brent",1999-02-15,10.27
"Brent",1999-03-15,12.51
"Brent",1999-04-15,15.29
"Brent",1999-05-15,15.23
"Brent",1999-06-15,15.86
"Brent",1999-07-15,19.08
"Brent",1999-08-15,20.22
"Brent",1999-09-15,22.54
"Brent",1999-10-15,22
"Brent",1999-11-15,24.58
"Brent",1999-12-15,25.47
"Brent",2000-01-15,25.51
"Brent",2000-02-15,27.78
"Brent",2000-03-15,27.49
"Brent",2000-04-15,22.76
"Brent",2000-05-15,27.74
"Brent",2000-06-15,29.8
"Brent",2000-07-15,28.68
"Brent",2000-08-15,30.2
"Brent",2000-09-15,33.14
"Brent",2000-10-15,30.96
"Brent",2000-11-15,32.55
"Brent",2000-12-15,25.66
"Brent",2001-01-15,25.62
"Brent",2001-02-15,27.5
"Brent",2001-03-15,24.5
"Brent",2001-04-15,25.66
"Brent",2001-05-15,28.31
"Brent",2001-06-15,27.85
"Brent",2001-07-15,24.61
"Brent",2001-08-15,25.68
"Brent",2001-09-15,25.62
"Brent",2001-10-15,20.54
"Brent",2001-11-15,18.8
"Brent",2001-12-15,18.71
"Brent",2002-01-15,19.42
"Brent",2002-02-15,20.28
"Brent",2002-03-15,23.7
"Brent",2002-04-15,25.73
"Brent",2002-05-15,25.35
"Brent",2002-06-15,24.08
"Brent",2002-07-15,25.74
"Brent",2002-08-15,26.65
"Brent",2002-09-15,28.4
"Brent",2002-10-15,27.54
"Brent",2002-11-15,24.34
"Brent",2002-12-15,28.33
"Brent",2003-01-15,31.18
"Brent",2003-02-15,32.77
"Brent",2003-03-15,30.61
"Brent",2003-04-15,25
"Brent",2003-05-15,25.86
"Brent",2003-06-15,27.65
"Brent",2003-07-15,28.35
"Brent",2003-08-15,29.89
"Brent",2003-09-15,27.11
"Brent",2003-10-15,29.61
"Brent",2003-11-15,28.75
"Brent",2003-12-15,29.81
"Brent",2004-01-15,31.28
"Brent",2004-02-15,30.86
"Brent",2004-03-15,33.63
"Brent",2004-04-15,33.59
"Brent",2004-05-15,37.57
"Brent",2004-06-15,35.18
"Brent",2004-07-15,38.22
"Brent",2004-08-15,42.74
"Brent",2004-09-15,43.2
"Brent",2004-10-15,49.78
"Brent",2004-11-15,43.11
"Brent",2004-12-15,39.6
"Brent",2005-01-15,44.51
"Brent",2005-02-15,45.48
"Brent",2005-03-15,53.1
"Brent",2005-04-15,51.88
"Brent",2005-05-15,48.65
"Brent",2005-06-15,54.35
"Brent",2005-07-15,57.52
"Brent",2005-08-15,63.98
"Brent",2005-09-15,62.91
"Brent",2005-10-15,58.54
"Brent",2005-11-15,55.24
"Brent",2005-12-15,56.86
"Brent",2006-01-15,62.99
"Brent",2006-02-15,60.21
"Brent",2006-03-15,62.06
"Brent",2006-04-15,70.26
"Brent",2006-05-15,69.78
"Brent",2006-06-15,68.56
"Brent",2006-07-15,73.67
"Brent",2006-08-15,73.23
"Brent",2006-09-15,61.96
"Brent",2006-10-15,57.81
"Brent",2006-11-15,58.76
"Brent",2006-12-15,62.47
"Brent",2007-01-15,53.68
"Brent",2007-02-15,57.56
"Brent",2007-03-15,62.05
"Brent",2007-04-15,67.49
"Brent",2007-05-15,67.21
"Brent",2007-06-15,71.05
"Brent",2007-07-15,76.93
"Brent",2007-08-15,70.76
"Brent",2007-09-15,77.17
"Brent",2007-10-15,82.34
"Brent",2007-11-15,92.41
"Brent",2007-12-15,90.93
"Brent",2008-01-15,92.18
"Brent",2008-02-15,94.99
"Brent",2008-03-15,103.64
"Brent",2008-04-15,109.07
"Brent",2008-05-15,122.8
"Brent",2008-06-15,132.32
"Brent",2008-07-15,132.72
"Brent",2008-08-15,113.24
"Brent",2008-09-15,97.23
"Brent",2008-10-15,71.58
"Brent",2008-11-15,52.45
"Brent",2008-12-15,39.95
"Brent",2009-01-15,43.44
"Brent",2009-02-15,43.32
"Brent",2009-03-15,46.54
"Brent",2009-04-15,50.18
"Brent",2009-05-15,57.3
"Brent",2009-06-15,68.61
"Brent",2009-07-15,64.44
"Brent",2009-08-15,72.51
"Brent",2009-09-15,67.65
"Brent",2009-10-15,72.77
"Brent",2009-11-15,76.66
"Brent",2009-12-15,74.46
"Brent",2010-01-15,76.17
"Brent",2010-02-15,73.75
"Brent",2010-03-15,78.83
"Brent",2010-04-15,84.82
"Brent",2010-05-15,75.95
"Brent",2010-06-15,74.76
"Brent",2010-07-15,75.58
"Brent",2010-08-15,77.04
"Brent",2010-09-15,77.84
"Brent",2010-10-15,82.67
"Brent",2010-11-15,85.28
"Brent",2010-12-15,91.45
"Brent",2011-01-15,96.52
"Brent",2011-02-15,103.72
"Brent",2011-03-15,114.64
"Brent",2011-04-15,123.26
"Brent",2011-05-15,114.99
"Brent",2011-06-15,113.83
"Brent",2011-07-15,116.97
"Brent",2011-08-15,110.22
"Brent",2011-09-15,112.83
"Brent",2011-10-15,109.55
"Brent",2011-11-15,110.77
"Brent",2011-12-15,107.87
"Brent",2012-01-15,110.69
"Brent",2012-02-15,119.33
"Brent",2012-03-15,125.45
"Brent",2012-04-15,119.75
"Brent",2012-05-15,110.34
"Brent",2012-06-15,95.16
"Brent",2012-07-15,102.62
"Brent",2012-08-15,113.36
"Brent",2012-09-15,112.86
"Brent",2012-10-15,111.71
"Brent",2012-11-15,109.06
"Brent",2012-12-15,109.49
"Brent",2013-01-15,112.96
"Brent",2013-02-15,116.05
"Brent",2013-03-15,108.47
"Brent",2013-04-15,102.25
"Brent",2013-05-15,102.56
"Brent",2013-06-15,102.92
"Brent",2013-07-15,107.93
"Brent",2013-08-15,111.28
"Brent",2013-09-15,111.6
"Brent",2013-10-15,109.08
"Brent",2013-11-15,107.79
"Brent",2013-12-15,110.76
"Brent",2014-01-15,108.12
"Brent",2014-02-15,108.9
"Brent",2014-03-15,107.48
"Brent",2014-04-15,107.76
"Brent",2014-05-15,109.54
"Brent",2014-06-15,111.8
"Brent",2014-07-15,106.77
"Brent",2014-08-15,101.61
"Brent",2014-09-15,97.09
"Brent",2014-10-15,87.43
"Brent",2014-11-15,79.44
"Brent",2014-12-15,62.34
"Brent",2015-01-15,47.76
"Brent",2015-02-15,58.1
"Brent",2015-03-15,55.89
"Brent",2015-04-15,59.52
"Brent",2015-05-15,64.08
"Brent",2015-06-15,61.48
"Brent",2015-07-15,56.56
"Brent",2015-08-15,46.52
"Brent",2015-09-15,47.62
"Brent",2015-10-15,48.43
"Brent",2015-11-15,44.27
"Brent",2015-12-15,38.01
"Brent",2016-01-15,30.7
"Brent",2016-02-15,32.18
"Brent",2016-03-15,38.21
"Brent",2016-04-15,41.58
"Brent",2016-05-15,46.74
"Brent",2016-06-15,48.25
"Brent",2016-07-15,44.95
"Brent",2016-08-15,45.84
"Brent",2016-09-15,46.57
"Brent",2016-10-15,49.52
"Brent",2016-11-15,44.73
"Brent",2016-12-15,53.31
"Brent",2017-01-15,54.58
"Brent",2017-02-15,54.87
"Brent",2017-03-15,51.59
"Brent",2017-04-15,52.31
"Brent",2017-05-15,50.33
"Brent",2017-06-15,46.37
"Brent",2017-07-15,48.48
"Brent",2017-08-15,51.7
"Brent",2017-09-15,56.15
"Brent",2017-10-15,57.51
"Brent",2017-11-15,62.71
"Brent",2017-12-15,64.37
"Brent",2018-01-15,69.08
"Brent",2018-02-15,65.32
"Brent",2018-03-15,66.02
"Brent",2018-04-15,72.11
"Brent",2018-05-15,76.98
"Brent",2018-06-15,74.41
"Brent",2018-07-15,74.25
"Brent",2018-08-15,72.53
"Brent",2018-09-15,78.89
"Brent",2018-10-15,81.03
"Brent",2018-11-15,64.75
"Brent",2018-12-15,57.36
"Brent",2019-01-15,59.41
"Brent",2019-02-15,63.96
"Brent",2019-03-15,66.14
"Brent",2019-04-15,71.23
"Brent",2019-05-15,71.32
"Brent",2019-06-15,64.22
"Brent",2019-07-15,63.92
"Brent",2019-08-15,59.04
"Brent",2019-09-15,62.83
"Brent",2019-10-15,59.71
"Brent",2019-11-15,63.21
"Brent",2019-12-15,67.31
